admin-access-code.mjs	real_hf_specialty_stays_in_hf	0.46
admin-access-code.test.mjs	real_hf_specialty_stays_in_hf	0.24
clinical-repo/index.mjs	real_hf_specialty_stays_in_hf	0.61
clinical-repo/sync/op-encoder.mjs	real_hf_specialty_stays_in_hf	0.20
clinical-repo/sync/op-encoder.test.mjs	real_hf_specialty_stays_in_hf	0.57
clinical-salas.mjs	real_hf_specialty_stays_in_hf	0.68
clinical-scope/characterization.test.mjs	real_hf_specialty_stays_in_hf	0.67
clinical-scope/evaluate/evaluate-clinical-scope.mjs	real_hf_specialty_stays_in_hf	0.60
clinical-scope/evaluate/index.mjs	real_hf_specialty_stays_in_hf	0.42
clinical-scope/evaluate/preamble.mjs	real_hf_specialty_stays_in_hf	0.70
clinical-scope/evaluate/scope-context.mjs	real_hf_specialty_stays_in_hf	0.30
clinical-scope/fixtures/evaluate-clinical-scope.json	real_hf_specialty_stays_in_hf	0.51
clinical-scope/fixtures/team-membership.json	real_hf_specialty_stays_in_hf	0.26
clinical-scope/index.mjs	real_hf_specialty_stays_in_hf	0.67
clinical-scope/interconsultas.mjs	real_hf_specialty_stays_in_hf	0.58
clinical-scope/team-membership.mjs	real_hf_specialty_stays_in_hf	0.36
clinical-team-composition.mjs	real_hf_specialty_stays_in_hf	0.60
clinical-team-composition.test.mjs	real_hf_specialty_stays_in_hf	0.28
clinical-text.mjs	real_hf_specialty_stays_in_hf	0.19
cloud-sync-ipc-fetch.cjs	bug_fix_belongs_in_core	0.34
cloud-sync-ipc-fetch.test.cjs	real_hf_specialty_stays_in_hf	0.15
db/clinical-access-db.mjs	real_hf_specialty_stays_in_hf	0.74
db/clinical-access-directory.mjs	real_hf_specialty_stays_in_hf	0.35
db/clinical-access-rotation.mjs	real_hf_specialty_stays_in_hf	0.17
db/clinical-access-teams-core.mjs	real_hf_specialty_stays_in_hf	0.13
db/clinical-access-teams-membership.mjs	real_hf_specialty_stays_in_hf	0.27
db/clinical-access-teams-query.mjs	real_hf_specialty_stays_in_hf	0.37
db/clinical-access-users-provision.test.mjs	real_hf_specialty_stays_in_hf	0.42
db/clinical-access-users.mjs	real_hf_specialty_stays_in_hf	0.50
db/clinical-blob-keys.mjs	real_hf_specialty_stays_in_hf	0.14
db/clinical-blobs.mjs	real_hf_specialty_stays_in_hf	0.15
db/clinical-ops-bundle-merge-snapshots.cjs	real_hf_specialty_stays_in_hf	0.28
db/clinical-ops-bundle-merge.cjs	real_hf_specialty_stays_in_hf	0.14
db/clinical-ops-fk-repro.test.mjs	real_hf_specialty_stays_in_hf	0.65
db/clinical-ops-sync-export.mjs	real_hf_specialty_stays_in_hf	0.53
db/clinical-ops-sync-merge-guardias.mjs	real_hf_specialty_stays_in_hf	0.42
db/clinical-ops-sync-merge-teams.mjs	bug_fix_belongs_in_core	0.21
db/clinical-ops-sync-merge-users.mjs	real_hf_specialty_stays_in_hf	0.39
db/clinical-ops-sync-merge-utils.mjs	real_hf_specialty_stays_in_hf	0.19
db/clinical-ops-sync-merge.mjs	real_hf_specialty_stays_in_hf	0.29
db/clinical-privileges.mjs	real_hf_specialty_stays_in_hf	0.68
db/clinical-privileges.test.mjs	real_hf_specialty_stays_in_hf	0.54
db/clinical-username.mjs	real_hf_specialty_stays_in_hf	0.37
db/clinical-username.test.mjs	real_hf_specialty_stays_in_hf	0.09
db/ipc-handlers-bind.mjs	real_hf_specialty_stays_in_hf	0.29
db/ipc-handlers-register-core.mjs	real_hf_specialty_stays_in_hf	0.55
db/ipc-handlers-register-guardia.mjs	real_hf_specialty_stays_in_hf	0.47
db/ipc-handlers-register-profile.mjs	real_hf_specialty_stays_in_hf	0.59
db/ipc-handlers-register-teams.mjs	real_hf_specialty_stays_in_hf	0.76
db/ipc-handlers.mjs	real_hf_specialty_stays_in_hf	0.93
